#{"t_start": 1715593383.8340797, "env_id": "None"}
r,l,t
-558409.85515,1000,3.984777
-558409.85515,1000,6.685504
-558409.85515,1000,9.354661
-558409.85515,1000,12.113368
-558409.85515,1000,14.794329
-558409.85515,1000,17.499987
-558409.85515,1000,20.187552
-558409.85515,1000,22.825827
-558409.85515,1000,25.532559
-558409.85515,1000,28.321954
-558409.85515,1000,31.106129
-558409.85515,1000,33.818677
-558409.85515,1000,36.615864
-558409.85515,1000,39.298464
-558409.85515,1000,41.962845
-558409.85515,1000,44.658495
-558409.85515,1000,47.406065
-558409.85515,1000,50.145417
-558409.85515,1000,52.90623
-558409.85515,1000,55.640661
-558409.85515,1000,58.42067
-558409.85515,1000,61.126399
-558409.85515,1000,63.825958
-558409.85515,1000,66.582745
-558409.85515,1000,69.31974
-558409.85515,1000,72.053296
-558409.85515,1000,74.831249
-558409.85515,1000,77.616122
-558409.85515,1000,80.438909
-558409.85515,1000,83.202439
-558409.85515,1000,85.933022
-558409.85515,1000,88.730453
-558409.85515,1000,91.664506
-558409.85515,1000,95.067932
-558409.85515,1000,98.036784
-558409.85515,1000,101.461968
-558409.85515,1000,104.470471
-558409.85515,1000,107.449936
-558409.85515,1000,110.439516
-558409.85515,1000,113.352965
-558409.85515,1000,116.262804
-558409.85515,1000,119.197261
-558409.85515,1000,122.127926
-558409.85515,1000,125.022166
-558409.85515,1000,127.862976
-558409.85515,1000,130.832899
-558409.85515,1000,133.686089
-558409.85515,1000,136.521086
-558409.85515,1000,139.334264
-558409.85515,1000,142.190663
-558409.85515,1000,145.271035
-558409.85515,1000,148.26616
-558409.85515,1000,151.200634
